iter	Logloss
0	0.6906885376
1	0.6890753174
2	0.6871829834
3	0.6855638428
4	0.6837722168
5	0.6813456421
6	0.6796254883
7	0.6775081787
8	0.6757838135
9	0.6741777344
10	0.672640686
11	0.6711055908
12	0.6698852539
13	0.6682654419
14	0.6666757202
15	0.6654283447
16	0.6640535889
17	0.6627109375
18	0.6609393311
19	0.6594675293
20	0.6581981201
21	0.6566009521
22	0.6548770752
23	0.653395874
24	0.6518762817
25	0.6504278564
26	0.6491450195
27	0.6477181396
28	0.6465804443
29	0.6451514282
30	0.6441657715
31	0.6430844727
32	0.642222168
33	0.6410413208
34	0.6400366211
35	0.6387268677
36	0.637447876
37	0.6360863647
38	0.634831665
39	0.6338989258
40	0.6330020752
41	0.6320761719
42	0.631168396
43	0.6301321411
44	0.6290721436
45	0.6279038696
46	0.626909729
47	0.6259251709
48	0.625093689
49	0.6239884033
50	0.6230870361
51	0.6220917969
52	0.6209146729
53	0.6202382202
54	0.6193815918
55	0.6186812134
56	0.6176954346
57	0.6167060547
58	0.6157677002
59	0.6146734009
60	0.6137705688
61	0.6126538086
62	0.6117655029
63	0.61090448
64	0.6103012085
65	0.6095671387
66	0.609043396
67	0.6081962891
68	0.6073904419
69	0.6066325684
70	0.6061314697
71	0.605526062
72	0.6049620361
73	0.6042313843
74	0.6036149292
75	0.6028569336
76	0.6021878052
77	0.6009451904
78	0.6003268433
79	0.5993874512
80	0.5984671631
81	0.5977436523
82	0.5972095947
83	0.5965371094
84	0.5959020996
85	0.5951737671
86	0.5943966064
87	0.5938223877
88	0.5934208984
89	0.5925663452
90	0.5919767456
91	0.5913822632
92	0.5908187256
93	0.5899770508
94	0.5891216431
95	0.5885861816
96	0.5880187378
97	0.5874798584
98	0.5870106201
99	0.5861890869
100	0.5853934326
101	0.5847868652
102	0.5840943604
103	0.5836488647
104	0.5829109497
105	0.5825779419
106	0.582161499
107	0.5816051025
108	0.5809093018
109	0.5802680664
110	0.5796641846
111	0.5789500732
112	0.5783343506
113	0.5779042969
114	0.5771008301
115	0.5766160278
116	0.5761646729
117	0.5756044922
118	0.5748800659
119	0.5742097168
120	0.5738377686
121	0.5731584473
122	0.5727557373
123	0.5722364502
124	0.5716939697
125	0.5712130127
126	0.5708306885
127	0.5699251099
128	0.5693989258
129	0.5689072266
130	0.5681642456
131	0.567447998
132	0.5668707275
133	0.5663756714
134	0.5658449707
135	0.5654624023
136	0.5651864624
137	0.5645355225
138	0.5637722168
139	0.5635906982
140	0.5630039062
141	0.5626378174
142	0.5622058105
143	0.5616516113
144	0.5611999512
145	0.560904541
146	0.560246521
147	0.5594530029
148	0.5589477539
149	0.5583879395
150	0.5577365723
151	0.5572893066
152	0.5568358154
153	0.5562525635
154	0.5559036865
155	0.5553251953
156	0.5547028809
157	0.5540083618
158	0.5535760498
159	0.5530657349
160	0.552499939
161	0.5520032959
162	0.551574707
163	0.5509594727
164	0.5503100586
165	0.5498417358
166	0.5492867432
167	0.5488897705
168	0.5481732178
169	0.5476081543
170	0.5472877197
171	0.5468631592
172	0.5465772705
173	0.5459259033
174	0.545647522
175	0.5453919067
176	0.5448765869
177	0.5445838013
178	0.5440713501
179	0.5437485352
180	0.5431513672
181	0.5428384399
182	0.5425276489
183	0.5421977539
184	0.5419350586
185	0.5416122437
186	0.5411881104
187	0.5408105469
188	0.5403933105
189	0.5402041016
190	0.5398996582
191	0.5394939575
192	0.5392099609
193	0.5387165527
194	0.5384279175
195	0.5379251709
196	0.5373410645
197	0.5367952881
198	0.5361328125
199	0.5359567871
200	0.5352261963
201	0.5350187988
202	0.5345714722
203	0.5341014404
204	0.5337407227
205	0.5333499756
206	0.5329615479
207	0.5326256104
208	0.5321303711
209	0.5318426514
210	0.5316228027
211	0.531407959
212	0.5310871582
213	0.5307392578
214	0.5304047852
215	0.5300053711
216	0.529649231
217	0.5290609131
218	0.528557373
219	0.528189209
220	0.5278292236
221	0.5276671143
222	0.5271190186
223	0.5266134033
224	0.5261984253
225	0.5258547363
226	0.5256408691
227	0.5252843628
228	0.5250011597
229	0.524708374
230	0.5243292236
231	0.5238798828
232	0.5234680786
233	0.5230842285
234	0.5226882324
235	0.5223012695
236	0.522048584
237	0.5218972168
238	0.5214798584
239	0.5211669312
240	0.5208547363
241	0.5205968018
242	0.5204346924
243	0.5202158203
244	0.5199401855
245	0.5196369019
246	0.5193307495
247	0.5189146729
248	0.5185474243
249	0.5180437012
250	0.5176953125
251	0.5171939697
252	0.5169182129
253	0.516503418
